#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=129 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:57.24 aq:46.58 tex:10181 mv:8364 misc:175 imb:8160 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:57.89 aq:50.31 tex:181 mv:255 misc:580 imb:5 pmb:27 smb:8128 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:57.89 aq:49.78 tex:33 mv:61 misc:442 imb:0 pmb:7 smb:8153 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:57.89 aq:50.37 tex:16 mv:10 misc:398 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:57.89 aq:50.13 tex:29 mv:19 misc:408 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:57.63 aq:49.29 tex:280 mv:377 misc:615 imb:26 pmb:19 smb:8115 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:57.76 aq:50.02 tex:59 mv:156 misc:513 imb:0 pmb:17 smb:8143 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:57.83 aq:50.43 tex:55 mv:28 misc:437 imb:0 pmb:6 smb:8154 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:57.69 aq:50.01 tex:33 mv:30 misc:417 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:57.37 aq:49.97 tex:300 mv:392 misc:620 imb:20 pmb:24 smb:8116 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:57.50 aq:49.73 tex:93 mv:146 misc:505 imb:1 pmb:16 smb:8143 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:57.56 aq:49.78 tex:45 mv:22 misc:421 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:57.43 aq:50.15 tex:119 mv:46 misc:467 imb:0 pmb:11 smb:8149 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:57.13 aq:48.74 tex:432 mv:423 misc:673 imb:34 pmb:25 smb:8101 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:57.25 aq:49.86 tex:116 mv:185 misc:539 imb:0 pmb:23 smb:8137 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:57.31 aq:50.02 tex:46 mv:30 misc:420 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:57.19 aq:49.57 tex:59 mv:28 misc:417 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:59.84 aq:50.69 tex:273 mv:427 misc:628 imb:23 pmb:29 smb:8108 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:58.49 aq:50.64 tex:83 mv:127 misc:502 imb:0 pmb:15 smb:8145 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:57.81 aq:50.14 tex:159 mv:53 misc:476 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:59.17 aq:51.00 tex:103 mv:44 misc:453 imb:0 pmb:9 smb:8151 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:54.38 aq:42.24 tex:2305 mv:1892 misc:1379 imb:900 pmb:49 smb:7211 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:57.11 aq:49.50 tex:100 mv:129 misc:531 imb:0 pmb:18 smb:8142 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:58.48 aq:50.71 tex:85 mv:57 misc:458 imb:0 pmb:11 smb:8149 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:55.75 aq:49.21 tex:68 mv:36 misc:432 imb:0 pmb:6 smb:8154 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:51.28 aq:35.62 tex:7585 mv:5496 misc:2719 imb:2524 pmb:127 smb:5509 d:- ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:52.83 aq:47.23 tex:136 mv:185 misc:551 imb:0 pmb:23 smb:8137 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:53.60 aq:46.94 tex:32 mv:42 misc:422 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:52.05 aq:45.73 tex:30 mv:30 misc:412 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:49.18 aq:36.85 tex:7001 mv:3701 misc:2786 imb:508 pmb:223 smb:7429 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:50.23 aq:38.63 tex:59 mv:155 misc:514 imb:0 pmb:17 smb:8143 d:- ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:50.75 aq:36.00 tex:2 mv:51 misc:427 imb:0 pmb:5 smb:8155 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:49.71 aq:35.00 tex:0 mv:41 misc:423 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:47.97 aq:38.34 tex:7021 mv:3639 misc:2580 imb:395 pmb:223 smb:7542 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:48.58 aq:39.82 tex:60 mv:155 misc:513 imb:0 pmb:17 smb:8143 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:48.88 aq:44.10 tex:33 mv:22 misc:417 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:48.28 aq:33.00 tex:1 mv:30 misc:409 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:47.86 aq:34.81 tex:4818 mv:3466 misc:2644 imb:337 pmb:208 smb:7615 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:47.92 aq:38.26 tex:94 mv:301 misc:589 imb:0 pmb:30 smb:8130 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:47.95 aq:33.00 tex:2 mv:40 misc:414 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:47.89 aq:33.00 tex:1 mv:31 misc:408 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:48.68 aq:38.33 tex:2582 mv:2223 misc:1659 imb:170 pmb:138 smb:7852 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:48.27 aq:37.39 tex:138 mv:215 misc:543 imb:1 pmb:24 smb:8135 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:48.07 aq:40.15 tex:30 mv:25 misc:409 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:48.47 aq:33.00 tex:2 mv:37 misc:409 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:48.83 aq:37.63 tex:2765 mv:2537 misc:1826 imb:183 pmb:158 smb:7819 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:48.75 aq:39.47 tex:36 mv:233 misc:531 imb:2 pmb:19 smb:8139 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:48.72 aq:34.00 tex:10 mv:29 misc:417 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:48.79 aq:46.17 tex:39 mv:24 misc:425 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:48.73 aq:38.47 tex:2912 mv:2321 misc:1839 imb:183 pmb:152 smb:7825 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:48.78 aq:39.04 tex:52 mv:198 misc:510 imb:2 pmb:16 smb:8142 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:48.80 aq:34.00 tex:2 mv:43 misc:435 imb:0 pmb:5 smb:8155 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:48.75 aq:34.73 tex:19 mv:28 misc:417 imb:1 pmb:2 smb:8157 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:48.39 aq:37.20 tex:3728 mv:2927 misc:1937 imb:216 pmb:194 smb:7750 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:48.56 aq:35.08 tex:58 mv:229 misc:545 imb:1 pmb:23 smb:8136 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:48.64 aq:35.43 tex:20 mv:47 misc:429 imb:2 pmb:2 smb:8156 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:48.47 aq:33.00 tex:1 mv:20 misc:403 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:47.96 aq:38.98 tex:3936 mv:2850 misc:2094 imb:227 pmb:186 smb:7747 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:48.17 aq:36.93 tex:120 mv:246 misc:554 imb:1 pmb:24 smb:8135 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:48.28 aq:37.65 tex:46 mv:55 misc:427 imb:1 pmb:5 smb:8154 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:48.06 aq:33.00 tex:0 mv:33 misc:415 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:47.40 aq:38.44 tex:4817 mv:3187 misc:2188 imb:238 pmb:215 smb:7707 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:47.68 aq:39.80 tex:100 mv:272 misc:588 imb:0 pmb:32 smb:8128 d:- ref:0 ;
